Date,NSE_NO_OF_CONT,NSE_NO_OF_TRADE,NSE_NOTION_VAL,NSE_PR_VAL,BSE_TTL_TRADED_QTY,BSE_TTL_TRADED_VAL,BSE_AVG_TRADED_PRICE,BSE_NO_OF_TRADES,NSE_CAT_RETAIL_BUY_CR,NSE_CAT_RETAIL_SELL_CR,NSE_CAT_RETAIL_AVG_CR,NSE_EQ_RETAIL_BUY_CR,NSE_EQ_RETAIL_SELL_CR,NSE_EQ_RETAIL_AVG_CR,NSE_MRG_OUTSTANDING_BOD_LAKHS,NSE_MRG_FRESH_EXP_LAKHS,NSE_MRG_EXP_LIQ_LAKHS,NSE_MRG_NET_EOD_LAKHS,NSE_CLT_TOTAL_LONG_CONT,NSE_CLT_FUT_IDX_LONG,NSE_CLT_FUT_IDX_SHORT,NSE_REG_INVESTORS,BSE_REG_INVESTORS,NSE_MFSS_NOS_OF_SUB_ORDER,NSE_MFSS_TOT_SUB_AMT,NSE_MFSS_NOS_OF_RED_ORDER,NSE_MFSS_TOT_RED_AMT,NSE_MFSS_TOT_ORDER,NSE_EQUITY_TOTAL_NO_OF_ORDERS,NSE_FO_TOTAL_NO_OF_ORDERS,NSE_COMMODITY_TOTAL_NO_OF_ORDERS,NSE_MF_NO_OF_ORDERS,NSE_MF_NOTIONAL_TURNOVER,NSE_TBG_CM_NOS_OF_SECURITY_TRADES,NSE_TBG_CM_NOS_OF_TRADES,NSE_TBG_CM_TRADES_QTY,NSE_TBG_CM_TRADES_VALUES,NSE_TBG_FO_INDEX_FUT_QTY,NSE_TBG_FO_INDEX_FUT_VAL,NSE_TBG_FO_STOCK_FUT_QTY,NSE_TBG_FO_STOCK_FUT_VAL,NSE_TBG_FO_INDEX_OPT_QTY,NSE_TBG_FO_INDEX_OPT_VAL,NSE_TBG_FO_INDEX_OPT_PREM_VAL,NSE_TBG_FO_INDEX_OPT_PUT_CALL_RATIO,NSE_TBG_FO_STOCK_OPT_QTY,NSE_TBG_FO_STOCK_OPT_VAL,NSE_TBG_FO_STOCK_OPT_PREM_VAL,NSE_TBG_FO_STOCK_OPT_PUT_CALL_RATIO,NSE_TBG_FO_TOTAL_FO_QTY,NSE_TBG_FO_TOTAL_FO_VAL,NSE_TBG_FO_TOTAL_TRADED_PREM_VAL,NSE_TBG_FO_TOTAL_PUT_CALL_RATIO,NSE_TBG_COM_FUT_QTY,NSE_TBG_COM_FUT_VAL,NSE_TBG_COM_OPT_QTY,NSE_TBG_COM_OPT_VAL,NSE_TBG_COM_OPT_PREM,NSE_TBG_COM_TOTAL_QTY,NSE_TBG_COM_TOTAL_VAL
29-09-2025,191359202.00,72544386.00,346623134916067.25,681287206516.65,548749040.00,44360529779.65,40929924.5818,10800929.00,75861.53,77303.59,76582.56,32106.16,32862.17,32484.17,9962770.35,620609.43,646610.22,9936769.56,66290566,109633,112797,251015598,244653920,386754,6858059100.04,85365,7515997355.71,472119,,,,,,3174,38194637,41868.83,133255.38,279355,52208.54,4495038,307234.5,182704841,34036998.92,62527.22,1.1,8654361,625314.57,5601.5,0.6,196133595,35021756.53,427571.76,1.07,4404,83.797783,36707,2574.227656,43.574156,41111,127.371939
30-09-2025,355192044.00,109721238.00,654131640801204.25,739379395972.50,621358870.00,50143360111.04,40881331.9030,11111092.00,78377.09,78441.06,78409.07,33122.64,32535.38,32829.01,9936752.78,618962.19,611119.64,9944595.32,110457875,105632,100634,251015598,244653920,77180,4830412459.00,48220,3340851072.00,125400,,,,,,3122,32945419,36231.17,102544.59,219796,40989.55,3011048,203765.89,349645791,65014432.94,68712.45,1.06,5546253,398731.14,5225.49,0.59,358422888,65657919.52,318693.38,1.05,4602,89.257847,39835,2269.14941,45.06041,44437,134.318257
01-10-2025,68891415.00,31287163.00,122681467207592.95,421636242847.95,8241831720.00,665963447782.01,54990513.9047,73811471.00,46936.59,46570.25,46753.42,35907.97,36876.60,36392.29,9944495.80,1038942.82,342506.99,10640931.62,25408745,72735,71557,251015598,244653920,,,,,,,,,,,3163,30907089,37912.58,99744.74,138010,26068.92,1143168,79103.72,63908167,11914301.7,35689.73,0.9,4983248,353845.02,6473.9,0.47,70172593,12373319.36,147336.27,0.87,3015,58.176773,39044,2212.981266,44.979266,42059,103.156039
03-10-2025,106736232.00,41105043.00,193823501928909.16,486286459846.65,418349590.00,34003463319.60,39891661.2994,8371372.00,46698.34,43278.84,44988.59,41928.15,40440.91,41184.53,10640891.26,355401.29,354136.45,10642156.10,41567014,50827,36731,251015598,244653920,,,,,,,,,,,3190,33556744,42515.53,112827.66,89163,16836.95,1061570,75227.78,101953245,19031853.09,42413.88,0.92,4782987,350497.1,6214.77,0.47,107886965,19474414.92,140693.38,0.89,3064,56.010365,31856,1787.96266925,37.59441925,34920,93.60478425
06-10-2025,154309777.00,51020101.00,283340544888601.12,520351570971.10,528461670.00,43167846570.16,44307896.9833,9731817.00,46669.78,48742.91,47706.35,35022.96,36517.23,35770.10,10642156.10,373779.46,331405.39,10684530.17,54326757,50578,58876,251015598,244653920,,,,,,,,,,,3223,31650575,44261.86,96871.84,110589,21030.83,1121370,79251.17,149060682,27951998.22,45167.16,0.88,5249095,382056.27,6868,0.45,155541736,28434336.49,152317.16,0.87,2424,43.788168,42662,2399.853846,39.281846,45086,83.070014
07-10-2025,353740534.00,96983239.00,661494752624527.38,711079905322.40,774890410.00,63628576682.97,45069801.0673,12596210.00,55422.21,57304.10,56363.15,36382.20,36760.53,36571.36,10684529.75,373268.70,341308.94,10716489.50,116821310,51255,61532,251015598,244653920,,,,,,,,,,,3209,31022295,45652.39,98573.03,103284,19779.02,1092422,76118.83,348407492,65767988.08,64278.42,0.97,5333042,381487.18,6829.57,0.45,354936240,66245373.11,167005.84,0.96,3888,66.080987,43396,2438.541532,36.303282,47284,102.384269
08-10-2025,86234723.00,37481648.00,156557277880465.69,488946371263.20,3092344600.00,253638201101.00,49206847.0308,38483477.00,48808.33,46394.04,47601.18,35167.39,33731.87,34449.63,10716487.52,374360.53,288588.59,10802259.45,32334627,64100,59803,251015598,244653920,,,,,,,,,,,3218,30954531,42341.2,89602.56,115742,22073.62,1064437,73070.12,80638432,15264626.67,42524.69,0.99,5596291,391101.12,6369.95,0.47,87414902,15750871.53,144038.38,0.95,2861,48.360318,58223,3334.859356,40.035106,61084,88.395424
09-10-2025,75901974.00,33515745.00,136732379695759.20,405045479634.20,8997033500.00,738229462772.06,51496151.4794,81861095.00,40933.47,42844.68,41889.07,34923.27,36560.86,35742.07,10802256.35,311469.58,333006.92,10780719.01,27449787,50892,49950,251015598,244653920,,,,,,,,,,,3205,30794640,40618.89,92463.58,98059,18705.89,1061407,74137.6,70133720,13263899.97,33710.44,0.89,5768254,409338,6794.1,0.47,77061440,13766081.46,133348.03,0.85,9356,157.068692,59363,3407.380919,40.613669,68719,197.682361
10-10-2025,108770549.00,42907623.00,198268817781686.66,522985519684.15,430914490.00,35650286501.42,46461141.3012,8519139.00,50810.11,52701.28,51755.69,36460.73,37435.71,36948.22,10780688.86,380976.95,391153.53,10770512.29,41901028,53267,55596,251015598,244653920,,,,,,,,,,,3181,30936774,46299.67,94005.11,101731,19622.77,1202475,83298.51,101963001,19353589.24,44914.96,0.93,6807548,473292.54,7383.59,0.45,110074755,19929803.06,155219.83,0.89,3524,60.33877,81765,4584.941863,57.409363,85289,117.748133
13-10-2025,144589630.00,51744222.00,267164630587262.50,555096481620.00,526836020.00,43418876181.54,44275527.4777,10219127.00,48617.34,45594.86,47106.10,35925.02,36933.30,36429.16,10769429.72,354750.64,325028.41,10799151.95,52051268,56860,47900,251015598,244653920,,,,,,,,,,,3218,30723294,43784.85,91723.49,106405,20366.25,1002196,69558.85,138841517,26303654.87,49312,1,5748113,412808.19,6197.65,0.46,145698231,26806388.16,145434.75,0.97,3036,51.618425,88244,4872.033545,55.037045,91280,106.65547
